text_id,n_words,n_tokens,n_lemmma,n_nouns,n_verbs,corpus,language
alhayat.20010204.0082,440,330,256,148,31,UD_Arabic-PADT,Arabic
alhayat.20010207.0075,445,343,252,139,32,UD_Arabic-PADT,Arabic
alhayat.20010208.0022,439,323,247,124,30,UD_Arabic-PADT,Arabic
alhayat.20010211.0080,448,328,245,124,36,UD_Arabic-PADT,Arabic
alhayat.20010214.0068,452,329,260,139,31,UD_Arabic-PADT,Arabic
alhayat.20010225.0097,455,347,264,141,33,UD_Arabic-PADT,Arabic
alhayat.20010407.0221,458,347,262,154,36,UD_Arabic-PADT,Arabic
alhayat.20010417.0149,460,349,259,131,38,UD_Arabic-PADT,Arabic
alhayat.20010422.0178,452,339,271,153,37,UD_Arabic-PADT,Arabic
alhayat.20010423.0163,451,343,270,151,36,UD_Arabic-PADT,Arabic
alhayat.20010425.0156,438,336,271,145,30,UD_Arabic-PADT,Arabic
alhayat.20010911.0008,433,332,249,143,37,UD_Arabic-PADT,Arabic
alhayat.20010912.0068,425,299,236,153,16,UD_Arabic-PADT,Arabic
alhayat.20011007.0087,425,332,265,148,30,UD_Arabic-PADT,Arabic
alhayat.20011108.0027,432,319,247,134,26,UD_Arabic-PADT,Arabic
alhayat.20011225.0099,428,328,249,129,27,UD_Arabic-PADT,Arabic
alhayat.20020116.0063,434,329,241,125,29,UD_Arabic-PADT,Arabic
annahar.20021101.0005,443,317,251,126,32,UD_Arabic-PADT,Arabic
annahar.20021130.0096,437,319,241,130,29,UD_Arabic-PADT,Arabic
assabah.20041005.0017,432,311,242,128,33,UD_Arabic-PADT,Arabic
assabah.20041013.0022,436,331,246,118,36,UD_Arabic-PADT,Arabic
assabah.20041020.0001,431,299,222,127,24,UD_Arabic-PADT,Arabic
assabah.20041022.0016,438,321,253,143,37,UD_Arabic-PADT,Arabic
ummah.20040407.0003,436,336,256,144,31,UD_Arabic-PADT,Arabic
ummah.20040407.0013,440,327,252,125,31,UD_Arabic-PADT,Arabic
ummah.20040407.0026,439,331,253,150,32,UD_Arabic-PADT,Arabic
ummah.20040531.0006,434,329,255,140,28,UD_Arabic-PADT,Arabic
ummah.20040531.0013,440,324,246,134,35,UD_Arabic-PADT,Arabic
ummah.20040628.0050,438,307,243,135,29,UD_Arabic-PADT,Arabic
ummah.20040705.0001,447,340,267,146,32,UD_Arabic-PADT,Arabic
ummah.20040705.0011,444,337,259,147,36,UD_Arabic-PADT,Arabic
ummah.20040705.0017,438,336,265,148,36,UD_Arabic-PADT,Arabic
ummah.20040715.0010,448,335,251,130,31,UD_Arabic-PADT,Arabic
ummah.20040715.0019,445,330,252,143,19,UD_Arabic-PADT,Arabic
ummah.20040715.0027,425,303,241,123,39,UD_Arabic-PADT,Arabic
ummah.20040715.0033,425,332,257,160,29,UD_Arabic-PADT,Arabic
ummah.20040715.0039,436,334,256,150,27,UD_Arabic-PADT,Arabic
ummah.20040726.0012,433,323,257,133,27,UD_Arabic-PADT,Arabic
ummah.20040726.0031,441,347,262,134,39,UD_Arabic-PADT,Arabic
ummah.20040726.0053,440,323,241,127,27,UD_Arabic-PADT,Arabic
ummah.20040726.0064,444,321,261,139,36,UD_Arabic-PADT,Arabic
ummah.20040726.0071,435,333,267,144,36,UD_Arabic-PADT,Arabic
ummah.20040809.0062,440,323,254,132,40,UD_Arabic-PADT,Arabic
ummah.20040809.0076,438,332,249,129,39,UD_Arabic-PADT,Arabic
ummah.20040819.0026,442,336,261,138,23,UD_Arabic-PADT,Arabic
ummah.20040819.0034,433,329,260,136,36,UD_Arabic-PADT,Arabic
ummah.20040906.0001,441,335,268,148,34,UD_Arabic-PADT,Arabic
ummah.20040906.0010,434,334,252,141,29,UD_Arabic-PADT,Arabic
ummah.20040906.0014,445,338,265,135,38,UD_Arabic-PADT,Arabic
xinhua.20030501.0016,430,323,248,120,34,UD_Arabic-PADT,Arabic
xinhua.20030501.0028,437,320,254,152,25,UD_Arabic-PADT,Arabic
xinhua.20030501.0042,446,325,244,144,32,UD_Arabic-PADT,Arabic
xinhua.20030501.0081,444,317,244,141,26,UD_Arabic-PADT,Arabic
xinhua.20030503.0026,438,322,248,128,35,UD_Arabic-PADT,Arabic
xinhua.20030503.0037,435,331,253,143,33,UD_Arabic-PADT,Arabic
xinhua.20030503.0047,438,320,253,115,35,UD_Arabic-PADT,Arabic
xinhua.20030503.0052,434,326,238,146,32,UD_Arabic-PADT,Arabic
xinhua.20030503.0126,430,329,269,148,28,UD_Arabic-PADT,Arabic
xinhua.20030503.0135,425,310,238,119,29,UD_Arabic-PADT,Arabic
xinhua.20030503.0158,429,317,247,144,34,UD_Arabic-PADT,Arabic
xinhua.20030503.0166,443,357,277,162,30,UD_Arabic-PADT,Arabic
xinhua.20030503.0171,444,329,239,135,29,UD_Arabic-PADT,Arabic
xinhua.20030503.0179,441,312,236,133,31,UD_Arabic-PADT,Arabic
xinhua.20030503.0183,450,332,264,151,32,UD_Arabic-PADT,Arabic
